Start Time: 2019-04-17_19-50-32.179
1,2.40155,-0.172501,-0.79164,-3.04244,0.687768,-2.98549
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40153,-0.172495,-0.791572,-3.04249,0.687736,-2.9855
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40149,-0.172449,-0.791528,-3.04254,0.68777,-2.98549
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40142,-0.172424,-0.79146,-3.0426,0.687804,-2.98547
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40135,-0.172413,-0.791371,-3.04264,0.687818,-2.98547
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40133,-0.172437,-0.791327,-3.04266,0.687816,-2.98548
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40125,-0.172409,-0.791272,-3.04266,0.68786,-2.98546
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40127,-0.172428,-0.791288,-3.04261,0.687864,-2.98546
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40127,-0.172399,-0.791394,-3.04247,0.687881,-2.98538
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40132,-0.172398,-0.791456,-3.04241,0.687887,-2.9854
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40134,-0.172395,-0.791482,-3.0424,0.687921,-2.98542
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40133,-0.172422,-0.791468,-3.04246,0.687919,-2.98546
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40135,-0.172429,-0.791506,-3.04245,0.687924,-2.9855
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
7,0,0,0,0,-0,0
1,2.40136,-0.172418,-0.791489,-3.04247,0.687953,-2.98551
2,0,0,0,-1.50789,-1.51784,1.58124
3,1.50545,1.69772,-5.42865,2.5629,-0.0373504,-3.08437
4,5.66523,2.13943,-0.000430201,-2.88792,1.49268,-2.00716
5,0,0,0,0,-0,0
6,-0.218752,1.7964,-0.244905,-0.640915,-0.679869,0.00736843
